page,group,subgroup,nreview,user,role,postcount,datecreated,hourcreated,message,reply
1,Honda,Honda Accord,1,chait6756,Member,3,2019-11-02,07:16:09,"Hello,Can I request for the numbers like residual, MF, and any Incentives for 2020 Accord EXL 2L 36mo/10k in 75039 ",No
1,Honda,Honda Accord,2,Jwalker714,Member,4,2019-11-02,15:09:05,"Hi there! May I please get the MF, residual and incentives for a 2020 Honda Accord EX. 12k/36mos AND 48mos (if not too much trouble) ZIP 68127 ",No
1,Honda,Honda Accord,3,kyfdx,Moderator,217095,2019-11-02,15:28:12,"chait6756 said:Hello,Can I request for the numbers like residual, MF, and any Incentives for 2020 Accord EXL 2L 36mo/10k in 75039Jwalker714 said:Hi there! May I please get the MF, residual and incentives for a 2020 Honda Accord EX. 12k/36mos AND 48mos (if not too much trouble) ZIP 68127Sorry, but we don't have any lease programs yet, for the 2020 model. ",Yes
1,Honda,Honda Accord,4,Crownedjules,Member,34,2019-11-06,01:21:10,"Looking for RV, MF and incentives on 2020 Accord EXL 2.0 in 85233 for 36/12 term ",No
1,Honda,Honda Accord,5,Michaell,Moderator,219539,2019-11-06,07:33:53,"Crownedjules said:Looking for RV, MF and incentives on 2020 Accord EXL 2.0 in 85233 for 36/12 term.00150 and 57%$500 dealer incentive ",Yes
1,Honda,Honda Accord,6,eds92,Member,9,2019-11-09,16:19:01,"Could you please provide Residual and MF for 2020 Honda Accord LX, 36/12K in 19027? Are there any lease incentives? Thanks! ",No
1,Honda,Honda Accord,7,kyfdx,Moderator,217095,2019-11-09,19:59:01,"eds92 said:Could you please provide Residual and MF for 2020 Honda Accord LX, 36/12K in 19027? Are there any lease incentives? Thanks!.00150 MF and 59% residual$500 incentive ",Yes
1,Honda,Honda Accord,8,eds92,Member,9,2019-11-09,22:32:49,How will RV change for 2020 Honda Accord LX with 36m and 10K/yr? Thank you. ,No
1,Honda,Honda Accord,9,Michaell,Moderator,219539,2019-11-09,23:19:27,eds92 said:How will RV change for 2020 Honda Accord LX with 36m and 10K/yr? Thank you.Honda does not offer a 10K mileage allowance. ,Yes
1,Honda,Honda Accord,10,novacouple,Member,30,2019-11-11,19:41:34,Can anyone provide prices paid and/or discounts off MSRP on a 2020 Accord Hybrid Touring model? ,No
1,Honda,Honda Accord,11,kyfdx,Moderator,217095,2019-11-11,20:29:44,"novacouple said:Can anyone provide prices paid and/or discounts off MSRP on a 2020 Accord Hybrid Touring model?I've set up a new discussion for 2020 purchase questions, here:https://forums.edmunds.com/discussion/59012/honda/accord/2020-honda-accord-deals-and-prices-purchase-discussion/p1?new=1Prices tend to get lost in all the lease questions.  ",Yes
1,Honda,Honda Accord,12,santi84,Member,25,2019-11-12,13:38:50,honda accord sport 2.0 in south florida 3/36 ,No
1,Honda,Honda Accord,13,kyfdx,Moderator,217095,2019-11-12,14:19:42,santi84 said:honda accord sport 2.0 in south florida 3/36.00150 MF and 62% residual$500 incentive ,Yes
1,Honda,Honda Accord,14,InternetUser101,Member,78,2019-11-12,17:50:22,"Hi, can I have the MF, RV, and any incentives for a 2020 Accord Sport 1.5, Sport 2.0, EX-L 2.0, and Touring 2.0? 36/10 and zip is 11590. Thanks so much. ",No
