,NEGATIVE,POSITIVE,pnr_ratio,group_number,published_at_max,open_date,close_date,close_date_30,close_date_60,ret_7,ret_30,ret_60
0,4.0,13.0,0.7647058823529411,124,2015-06-26 18:39:31+00:00,2015-06-27,2015-07-04,2015-07-27,2015-08-26,-0.02889012778648592,-0.04464867406707156,-0.1237701501920482
2,72.0,74.0,0.5068493150684932,168,2016-04-29 11:31:13+00:00,2016-04-30,2016-05-07,2016-05-30,2016-06-29,-0.025603358815763786,-0.013167623096988615,-0.08193117229577862
4,148.0,101.0,0.40562248995983935,219,2017-04-21 22:47:29+00:00,2017-04-22,2017-04-29,2017-05-22,2017-06-21,-0.005226150617531062,-0.033101009025968256,-0.03832754497755023
7,23.0,25.0,0.5208333333333334,234,2017-08-04 14:30:31+00:00,2017-08-05,2017-08-12,2017-09-04,2017-10-04,-0.002742092983082771,0.038391292262077256,0.12431468058655792
10,50.0,37.0,0.42528735632183906,235,2017-08-09 14:29:47+00:00,2017-08-10,2017-08-17,2017-09-09,2017-10-09,-0.022058836633008547,0.04871324220744046,0.13419085578036707
12,56.0,25.0,0.30864197530864196,237,2017-08-21 04:36:32+00:00,2017-08-22,2017-08-29,2017-09-21,2017-10-21,0.021677364813131123,0.10461823314558512,0.14886886943742206
14,103.0,82.0,0.44324324324324327,269,2018-04-05 14:30:51+00:00,2018-04-06,2018-04-13,2018-05-06,2018-06-05,1.1438735676166382e-07,0.01880748642443466,0.06283022940889128
16,122.0,75.0,0.38071065989847713,275,2018-05-18 15:58:59+00:00,2018-05-19,2018-05-26,2018-06-18,2018-07-18,0.0017513131817917462,0.049912423098616314,-0.04816124672014357
18,13.0,5.0,0.2777777777777778,282,2018-07-06 15:14:39+00:00,2018-07-07,2018-07-14,2018-08-06,2018-09-05,-0.02252263908347138,-0.0836935855952103,-0.1330263222237494
20,169.0,160.0,0.48632218844984804,293,2018-09-18 17:14:02+00:00,2018-09-19,2018-09-26,2018-10-19,2018-11-18,-0.03537972634000354,-0.11550464946677957,-0.02016971197699937
22,142.0,120.0,0.4580152671755725,294,2018-09-28 14:36:41+00:00,2018-09-29,2018-10-06,2018-10-29,2018-11-28,-0.01802767912656237,0.001771500637049222,0.015804875554638526
24,156.0,150.0,0.49019607843137253,302,2018-11-22 17:07:32+00:00,2018-11-23,2018-11-30,2018-12-23,2019-01-22,0.03748637183294687,-0.15876502635453907,-0.06284434366910642
27,615.0,905.0,0.5953947368421053,394,2020-08-26 12:00:44+00:00,2020-08-27,2020-09-03,2020-09-26,2020-10-26,-0.0014640381950831384,-0.020497763109757986,0.17569538283061717
29,704.0,420.0,0.3736654804270463,406,2020-11-16 23:00:09+00:00,2020-11-17,2020-11-24,2020-12-17,2021-01-16,0.09122410330852891,0.04849895801762261,0.15704399068446426
32,854.0,339.0,0.28415758591785417,431,2021-05-08 12:30:01+00:00,2021-05-09,2021-05-16,2021-06-08,2021-07-08,0.03140895433718381,0.32682527644566034,0.19354842665894462
34,373.0,242.0,0.3934959349593496,432,2021-05-19 17:58:25+00:00,2021-05-20,2021-05-27,2021-06-19,2021-07-19,0.1884983194921536,0.180511291505731,0.06070276241227188
36,872.0,521.0,0.3740129217516152,440,2021-07-16 12:00:12+00:00,2021-07-17,2021-07-24,2021-08-16,2021-09-15,0.058867974629954425,0.015849170831508923,-0.002264030611312389
38,727.0,347.0,0.3230912476722533,458,2021-11-16 13:00:09+00:00,2021-11-17,2021-11-24,2021-12-17,2022-01-16,0.03100122252279973,0.006562748144065955,0.2412744998981599
40,557.0,349.0,0.3852097130242826,465,2022-01-06 13:00:34+00:00,2022-01-07,2022-01-14,2022-02-06,2022-03-08,0.02107831471298827,-0.27109933332781494,-0.3468821626231855
42,311.0,211.0,0.4042145593869732,470,2022-02-06 13:41:56+00:00,2022-02-07,2022-02-14,2022-03-09,2022-04-08,-0.015228329397309429,-0.07670608694006661,-0.15115621965179868
44,622.0,252.0,0.28832951945080093,493,2022-07-19 10:00:03+00:00,2022-07-20,2022-07-27,2022-08-19,2022-09-18,0.046825394249344704,0.2728871481799115,0.19673841475929899
46,315.0,127.0,0.2873303167420814,502,2022-09-20 12:30:17+00:00,2022-09-21,2022-09-28,2022-10-21,2022-11-20,-0.08006034718939817,-0.07930505090728468,0.06463893077744758
48,969.0,592.0,0.3792440743113389,511,2022-11-24 14:39:34+00:00,2022-11-25,2022-12-02,2022-12-25,2023-01-24,-0.0071633125849647995,-0.19770772147298477,-0.08739259853483562
