,published_at,id,title,channel_name,group_number,published_at_max
0,2014-05-23 13:44:09+00:00,OniL0JTAj7Q,Ford Ka hatchback car review,AutoTrader,68,2014-05-28 16:26:46+00:00
1,2014-05-27 16:26:46+00:00,gAQBxpnJybk,Ford S-MAX MPV expert car review,AutoTrader,68,2014-05-28 16:26:46+00:00
2,2014-08-21 11:30:17+00:00,d2EFeJ1lxNY,Ford Focus car review,AutoTrader,80,2014-08-22 15:50:31+00:00
3,2014-08-21 11:30:18+00:00,K3qDfb7KFOE,Ford Focus estate car review,AutoTrader,80,2014-08-22 15:50:31+00:00
4,2014-08-21 15:50:31+00:00,mdSCB9CJhGg,Ford Grand C-MAX MPV expert car review,AutoTrader,80,2014-08-22 15:50:31+00:00
5,2014-08-22 16:01:57+00:00,Wq1xkBtkN7M,Ford Focus Estate vs Honda Civic Tourer vs Seat Leon ST pt 4 of 4,AutoTrader,81,2014-08-23 16:03:41+00:00
6,2014-08-22 16:02:28+00:00,plo0ERV68ug,Ford Focus Estate vs Honda Civic Tourer vs Seat Leon ST pt 3 of 4,AutoTrader,81,2014-08-23 16:03:41+00:00
7,2014-08-22 16:03:09+00:00,v7DSWOVLUGk,Ford Focus Estate vs Honda Civic Tourer vs Seat Leon ST pt 2 of 4,AutoTrader,81,2014-08-23 16:03:41+00:00
8,2014-08-22 16:03:41+00:00,_o4LOZdySeo,Ford Focus Estate vs Honda Civic Tourer vs Seat Leon ST pt 1 of 4,AutoTrader,81,2014-08-23 16:03:41+00:00
9,2015-03-05 15:47:36+00:00,nghCB57ISr4,Ford GT vs Lamborghini Aventador LP750-4 SV – 2015 Geneva Motor Show,AutoTrader,108,2015-03-06 15:47:36+00:00
10,2015-03-05 15:30:29+00:00,h0A4wHcmgAk,Honda Civic Type R vs Ford Focus RS – Geneva Motor Show 2015,AutoTrader,108,2015-03-06 15:47:36+00:00
11,2015-06-19 15:03:58+00:00,U8StuKUqD8w,Ford Mondeo estate car review,AutoTrader,124,2015-06-26 18:39:31+00:00
12,2015-06-25 18:39:31+00:00,S9fQKBO-1mc,Review | 2015 Ford F-150 King Ranch | Less Weight Less Problems,savagegeese,124,2015-06-26 18:39:31+00:00
13,2016-04-26 11:00:20+00:00,tv0LXfY0EN0,Ford Focus RS vs every rival (TRAILER),AutoTrader,168,2016-04-29 11:31:13+00:00
14,2016-04-28 11:31:13+00:00,HhnyQHRoeao,Ford Focus RS vs Honda Civic Type-R vs Audi RS3 vs Mercedes-AMG A45 &amp; more: Hot Hatch Mega Test,AutoTrader,168,2016-04-29 11:31:13+00:00
15,2017-04-17 22:21:48+00:00,McxC6Npok2k,2017 Ford F150 3.5 Ecoboost Review - Twin Turbo V6,TheStraightPipes,219,2017-04-21 22:47:29+00:00
16,2017-04-16 17:39:59+00:00,j2jVXKGvz9A,Viewer Drives | Ford Focus ST | Messy Fun,savagegeese,219,2017-04-21 22:47:29+00:00
17,2017-04-20 22:47:29+00:00,GKl50VsR6sk,Review | 2017 Ford Escape | When Reviews Go Wrong,savagegeese,219,2017-04-21 22:47:29+00:00
18,2017-07-28 15:30:00+00:00,FUCO012A9Ko,Ford Edge SUV long-term test review,AutoTrader,234,2017-08-04 14:30:31+00:00
19,2017-08-01 14:30:01+00:00,Abn4y5KIuzk,Here&#39;s What The 2017 Ford Raptor Suspension Is Doing Off Road,TheStraightPipes,234,2017-08-04 14:30:31+00:00
20,2017-08-03 14:30:31+00:00,ocF6IsOk-pg,2017 Ford Raptor Off Road Review - Offroad Monster,TheStraightPipes,234,2017-08-04 14:30:31+00:00
21,2017-08-08 14:29:47+00:00,HkLibqNtjZk,2017 Ford Raptor vs 700hp Shelby F150 Review - American Legends,TheStraightPipes,235,2017-08-09 14:29:47+00:00
22,2017-08-04 16:00:03+00:00,PGowK3VW_Jc,Ford Fiesta 2017 review,AutoTrader,235,2017-08-09 14:29:47+00:00
23,2017-08-18 16:44:49+00:00,G7Vb3AzqM60,"Ford Fiesta 2017: Best trim, engine, colours and options",AutoTrader,237,2017-08-21 04:36:32+00:00
24,2017-08-20 04:36:32+00:00,O2t_NeGq5tg,Review | 2007 Ford Police Interceptor CVPI | A Love Story,savagegeese,237,2017-08-21 04:36:32+00:00
25,2018-04-04 14:30:51+00:00,1poujNIBCqY,Say hello to the 2018 Ford Mustang,AutoTrader,269,2018-04-05 14:30:51+00:00
26,2018-03-30 14:08:04+00:00,lhofYreDu-E,Quick Review | 2018 Ford F-150 | V8 or Nothing,savagegeese,269,2018-04-05 14:30:51+00:00
27,2018-05-17 15:58:59+00:00,ij54QmKPoKo,2018 Ford Fiesta ST first drive review,AutoTrader,275,2018-05-18 15:58:59+00:00
28,2018-05-15 17:55:24+00:00,HcrvEklLfCs,Couch Dialogs | Ford Hates Cars and the Realities of Racing,savagegeese,275,2018-05-18 15:58:59+00:00
29,2018-07-02 10:34:07+00:00,Yg1TDh3Dsjg,Say hello to the... new Ford Focus,AutoTrader,282,2018-07-06 15:14:39+00:00
30,2018-07-05 15:14:39+00:00,LREjdDv8e-A,2018 Ford F-150 XLT Super Crew 4x4 // Strong Like Bull,Throttle House,282,2018-07-06 15:14:39+00:00
31,2018-09-17 17:14:02+00:00,5ewJAcbUnbw,The REV Test: All-New Ford Focus | Promotion by Ford,AutoTrader,293,2018-09-18 17:14:02+00:00
32,2018-09-14 14:30:11+00:00,aLt-cHKrFmo,2018 Ford Mustang GT Convertible Review - HUGE Improvement Over 2017,TheStraightPipes,293,2018-09-18 17:14:02+00:00
33,2018-09-27 14:36:41+00:00,ir4TQwG41zY,Review | Ford Fiesta ST | Used Car Champion,savagegeese,294,2018-09-28 14:36:41+00:00
